OBJECTID,Early_Yr,Late_Yr,GNIS_ID,GNIS_Name,Shape__Length
1,1920,2005,00249086,Santa Maria River,2739.7958690075
2,1920,2005,,,538.532626167935
3,1962,2004,00234936,South Branch North Fork Navarro River,492.12298879141
4,1962,2004,01662310,North Branch North Fork Navarro River,3.61942405937468
5,1989,2007,00266887,Klamath River,2760.25588493226
6,1998,2008,00236551,Trinity River,28.817083603147
7,2001,2007,00222923,East Sand Slough,3851.85745188483
8,2001,2007,01654949,Sacramento River,7378.11325659867
9,2001,2007,,,1097.88055216165
10,2001,2007,,,1297.15403121912
11,1920,2005,00249086,Santa Maria River,2.19207139512578
12,1956,2007,00253918,South Fork Eel River,2372.50453311975
13,1962,2004,00218466,Austin Creek,797.783264213742
14,1962,2004,00234936,South Branch North Fork Navarro River,11.510122214163
15,1962,2004,01662310,North Branch North Fork Navarro River,3427.83504645498
16,1989,2007,00266887,Klamath River,8928.83435685854
17,2001,2007,00266799,Hayfork Creek,1203.04996411871
18,2001,2007,01654949,Sacramento River,6260.21314518937
19,2001,2007,,,282.123825409394
20,2001,2007,,,361.563999122354
21,2001,2007,,,1508.19855789474
22,2001,2007,,,853.703115648297
23,2001,2007,,,271.797085720806
24,1939,2005,00248921,San Mateo Creek,2.81395318147458
25,1939,2006,00273492,San Juan Creek,4.47177581622078
26,1946,2005,00250984,Ventura River,0.359800013640779
27,1953,2004,00253220,Guadalupe River,1443.20199834793
28,1956,2005,00248752,Salsipuedes Creek,4.35869737766578
29,1956,2007,00223693,Forsythe Creek,2941.83911551434
30,1956,2007,00251974,Eel River,1540.39009726281
31,1959,2004,00236738,Tyler Creek,0.924855468155657
32,1961,2004,00229655,North Fork Cottaneva Creek,503.521505452675
33,1961,2004,00234534,Rancheria Creek,3733.39294710442
34,1962,2004,00234204,Low Gap Creek,31.4387806589978
35,1964,2004,00229679,North Fork Gualala River,357.669542146565
36,1965,2004,01723332,Russian Gulch Creek,19.0075130038828
37,1966,2004,00225696,Howard Creek,443.697217029561
38,1966,2007,00267200,Russian River,439.441971064736
39,1967,2004,00231428,Redwood Creek,674.548042002543
40,1973,2004,00255040,Robinson Creek,0.0409704753132502
41,1976,2004,00235310,Squaw Creek,236.26655170732
42,1979,2004,00254714,Carnadero Creek,638.210142924302
43,1980,2004,00234080,James Creek,2505.33967701402
44,1980,2007,,,147.971054626976
45,1981,2004,00218782,Bean Creek,653.424528834306
46,1981,2004,00218798,Bear Creek,588.173917479265
47,1981,2004,00219687,Boulder Creek,1820.23260299359
48,1981,2004,00248894,San Lorenzo River,2409.76276877887
49,1981,2004,00253912,Soquel Creek,407.810272237664
50,1981,2004,,,319.177218434141
51,1982,2004,00220677,Caspar Creek,146.00588859722
52,1983,2004,00234972,South Fork Big River,2655.12219333917
53,1983,2007,00225456,Hollow Tree Creek,3477.83742616289
54,1987,2006,00249095,Santa Paula Creek,86.764395217548
55,1989,2004,00223983,Fuller Creek,0.714389838711897
56,1990,1998,00257234,Blue Creek,53.3883654254789
57,1990,2005,00255305,"Sequit, Arroyo",30.4218103212186
58,1992,2004,00225182,Henry Creek,148.529790206665
59,1992,2007,00227317,Little North Fork Noyo River,203.533602375361
60,1993,2004,00231421,Redwood Creek,246.190665956556
61,1993,2005,00224105,Gazos Creek,49.1728695593717
62,1994,2003,,,65.6004322239994
63,1994,2004,00218808,Bear Creek,27.9530821512057
64,1994,2004,00221595,Corralitos Creek,3066.03079721589
65,1994,2004,00226299,Johnson Creek,56.6350253043749
66,1994,2004,00228548,Mettick Creek,133.318528189321
67,1994,2004,00231100,Purrington Creek,106.232805945476
68,1994,2004,00231424,Redwood Creek,5.69293581770543
69,1994,2004,00231884,Rose Creek,89.410996812071
70,1994,2004,00233014,Shingle Mill Creek,11.6453274543413
71,1994,2004,00238308,Zayante Creek,1047.28054141391
72,1994,2004,,,47.4219597127924
73,1994,2004,,,191.819493762736
74,1994,2004,,,0.822464163237218
75,1994,2004,,,42.6516399458909
76,1994,2005,00247446,Pico Creek,2262.23580117968
77,1994,2005,00248969,San Simeon Creek,119.411017518911
78,1994,2005,00254575,"Corte Madera Del Rprsidio, Arroyo",349.826873140062
79,1994,2005,00255270,"De La Laguna, Arroyo",5513.64004273554
80,1994,2005,00270448,Chorro Creek,2386.50663636404
81,1994,2005,,,0.992296980945908
82,1995,2003,00218098,Alder Creek,1887.0246834156
83,1995,2003,00232702,Schultz Slough,1660.58511743013
84,1995,2003,00253749,Petaluma River,6835.33941255007
85,1995,2004,00217957,Ackerman Creek,1092.78800185619
86,1995,2004,00218466,Austin Creek,21.084200282741
87,1995,2004,00223436,Felta Creek,60.9712060493074
88,1995,2004,00253689,Doyle Creek,596.609805625426
89,1995,2004,00259419,Dobbyn Creek,3033.32754576218
90,1995,2004,,,408.628421257297
91,1995,2005,,,485.529807765234
92,1995,2007,00226042,Jack Smith Creek,1939.20947069075
93,1996,2004,00219834,Briggs Creek,651.432054478763
94,1996,2004,00224171,Gilliam Creek,124.804196076702
95,1996,2004,00224517,Gray Creek,236.588102228304
96,1996,2004,00228689,Mill Creek,350.531966671541
